date,source,server,low,q1,md,q3,high
2025-06-10,op-de8a-conflux,public,179,12710,23301,41943,83886
2025-06-10,op-hk8a,public,201,4369,5991,7913,13107
2025-06-10,op-hk8a-conflux,public,241,5991,8388,11335,19065
2025-06-10,op-us8a,public,123,7231,10895,14463,24672
2025-06-10,op-us8a-conflux,public,91,10230,15534,20971,34952
2025-06-11,op-de8a,public,164,9320,15534,24672,46603
2025-06-11,op-de8a-conflux,public,144,11983,20971,34952,59918
2025-06-11,op-hk8a,public,385,4380,6078,7913,13107
2025-06-11,op-hk8a-conflux,public,499,5309,8224,11037,19065
2025-06-11,op-us8a,public,224,6765,10230,13981,24672
2025-06-11,op-us8a-conflux,public,71,11037,16131,22075,38130
2025-06-12,op-de8a,public,396,8224,14463,22688,41943
2025-06-12,op-de8a-conflux,public,160,13107,24672,38130,69905
2025-06-12,op-hk8a,public,242,4462,6355,8388,13981
2025-06-12,op-hk8a-conflux,public,230,5949,9118,11983,20971
2025-06-12,op-us8a,public,254,7626,10754,14979,24672
2025-06-12,op-us8a-conflux,public,353,9118,13981,19972,34952
2025-06-13,op-de8a,public,142,10754,16777,26214,46603
2025-06-13,op-de8a-conflux,public,280,13530,23301,38130,69905
2025-06-13,op-hk8a,public,92,4559,6260,7989,13107
2025-06-13,op-hk8a-conflux,public,390,5242,8388,11335,19972
2025-06-13,op-us8a,public,254,8065,11335,14979,24672
2025-06-13,op-us8a-conflux,public,397,10230,14463,19972,32263
2025-06-14,op-de8a,public,112,10230,16777,24672,41943
2025-06-14,op-de8a-conflux,public,231,14979,24672,38130,69905
2025-06-14,op-hk8a,public,86,4546,6168,7913,12710
2025-06-14,op-hk8a-conflux,public,110,6875,9320,11650,18236
